America/El_Salvador	America/El_Salvador	e308ec0a9447f40164e5a6cb01b9eebfece8ba144a7306f469e9e4fa75ad9b3d
America/Ensenada	America/Tijuana	af9aea4aee505143fa5e847643c0ffe164190c38411010ac7f0b170f4098a6c8
America/Fort_Nelson	America/Fort_Nelson	fe3ec827e8571ed57fedd48c83aa711902dbeb3fc8694323dda25d7bf178f504
America/Fort_Wayne	America/Indiana/Indianapolis	e678f42a13efbd7be0f26a9ce53e04b1c28a582eab05611cb01c16836432f07b
America/Fortaleza	America/Fortaleza	ba01780d63b78ff92138d79b7fb08bb13f6574bf893967b2ffaf52d239762c80
America/Glace_Bay	America/Glace_Bay	235a68b0f1c011f83f2dcfc541d5f507c17cfc0d0d7899caef6a77e8f13ba4a3
America/Godthab	America/Nuuk	2e5199e58fee77d270591be77079d41d102b41b6e735c9a6af3dddb8c851dc77
America/Goose_Bay	America/Goose_Bay	802240d52936722520d962279fc0e63c1c11030d058d06d83da5092bcd26b4c2
America/Grand_Turk	America/Grand_Turk	1a9f21a4cb7d3f74281079ac217d9ba8634c9144af97066aa8dcdc711f9c6def
America/Grenada	America/Grenada	abbe8628dd5487c889db816ce3a5077bbb47f6bafafeb9411d92d6ef2f70ce8d
America/Guadeloupe	America/Guadeloupe	abbe8628dd5487c889db816ce3a5077bbb47f6bafafeb9411d92d6ef2f70ce8d
America/Guatemala	America/Guatemala	0463c623897237a20517f4f4931d6ada587753948485bc83a8b16e5bc10509a5
America/Guayaquil	America/Guayaquil	f0e21a0b2f928ab28acf823bee5e8c4050e048b1ed8cdd13be494b54467fd34f
America/Guyana	America/Guyana	3e69c4b56b4e4da9ac3c95c4a3b3dc3500b2d91a7e7af1b2261e1c7f4a63011e
America/Halifax	America/Halifax	90ee5a841336a132df592e0a5f5e456ca5dfa39c20f9ff6fc35fe130e2121a28
America/Havana	America/Havana	9ace6b0aeab6c81338f55993ca632d15037773968137596477c8e3cca767366f
America/Hermosillo	America/Hermosillo	52bd4c612017dd06d3d945f9ecb983f37a3ab3667ee986d878eb9f2af4fecd33
America/Indiana/Indianapolis	America/Indiana/Indianapolis	e678f42a13efbd7be0f26a9ce53e04b1c28a582eab05611cb01c16836432f07b
America/Indiana/Knox	America/Indiana/Knox	2890b35dcb7c093308b552d82d8781a8ce9a4fa6f9de058283a6836ec1f9f282
America/Indiana/Marengo	America/Indiana/Marengo	ca05a6abcb1879ef0d17095267243fb6c2a8a4540ca7d35ee79ef31866f21766
America/Indiana/Petersburg	America/Indiana/Petersburg	048aee6f31c4a79428c8c68f8186c2d7349afc5dcbc295f328cf311f7ac7b292
America/Indiana/Tell_City	America/Indiana/Tell_City	7a6d983070d61055dd647d012a2e5b2d1010f1b6037e8a764f443c4aa0e1d01f
America/Indiana/Vevay	America/Indiana/Vevay	74f937df87bb310c25ef5f9abcdc911016155ae15341c54a7e5b65461ae5469c
America/Indiana/Vincennes	America/Indiana/Vincennes	8e23830d77a998b3f782f0a406e7dd137ae9e5c1177ed0479ca9def3f5ce3828
America/Indiana/Winamac	America/Indiana/Winamac	86c12e9da2eb6f1beca72577426e140fbc7ba8e01e06dcdc6dbcc034d32b762c
America/Indianapolis	America/Indiana/Indianapolis	e678f42a13efbd7be0f26a9ce53e04b1c28a582eab05611cb01c16836432f07b
America/Inuvik	America/Inuvik	77f657f94492ef41c84fefcf44928c63a99b411bdb28bbeccbd6abeee2f6338d
America/Iqaluit	America/Iqaluit	9ce352ef392c1874eb6c4263ef72d84595bdeb83a7710ba3fd5e9f363a43a10d
America/Jamaica	America/Jamaica	a437b1700333aeff53a8b5868d5387c080dc14c2d3e95aa5ce36f901b3669284
America/Jujuy	America/Argentina/Jujuy	ed8a6339c99568a2a98aadf5ad07bc4d30cd131747f638d922175c66ff928548
